country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.8368,1.2657743785850861,1.0,1.3549848942598186,0.8238573021181718,0.6089309878213802,1.1377777777777778,1.3046874999999998,1.3637724550898205,0.960482985729967,0.9485714285714285,0.9493975903614458,0.7639593908629442,1.3936877076411962,0.7199046483909415,1.2119205298013245,0.9726775956284154,1.2022471910112358,0.9637850467289719,1.135757575757576,1.0490928495197438,1.0732451678535095,1.056872037914692,1.0887892376681614,1.0543657331136738,1.07421875,0.5396363636363636,1.2681940700808625,0.46652497343251864,1.785876993166287,1.1709183673469388,0.8932461873638343,1.1512195121951219,0.6599576271186441,0.9646869983948635,1.6938435940099834,1.0206286836935166
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1.1681574239713777,0.8790199081163859,0.9390243902439026,1.051948051948052,1.022927689594356,1.3655172413793104,1.1742424242424243,0.9870967741935484,0.9901960784313726,1.0847084708470847,1.0476673427991885,1.1684414327202326,0.9328914664457331,1.087921847246892,1.124081632653061,0.9339143064633263,0.933864696734059,1.1566759648611518,1.1079036217434184,1.1637426900584795,1.1278615298715802,0.9990099009900989,0.9256689791873143,1.2103854389721627,1.1211853162317558,1.3648915187376724,1.1635838150289017,1.1920019870839544,1.1642008751823298,1.0715947735815283,1.0,1.1444797060297311,0.9550496205487448,0.9110635696821519,1.187185508218718,1.0114439107092401,1.0374353960050287
Belize,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.25,1.0799999999999998,0.9722222222222222,1.0952380952380953,0.9565217391304347,0.9636363636363636,0.9905660377358491,0.7333333333333334,1.051948051948052,1.0246913580246915,2.36144578313253,0.9948979591836735,1.123076923076923,0.9269406392694065,1.6798029556650247,0.9941348973607038,0.8908554572271385,1.1125827814569538,1.050595238095238,1.011331444759207,1.053221288515406,1.0319148936170213
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,1.0,1.0,1.0,1.1764705882352942,1.0,1.0,1.0,0.5,1.0,5.0,0.8,1.0,0.5,1.0,1.0,1.0,1.5,1.0,0.6666666666666666,2.5500000000000003,0.19607843137254902
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,1.1666666666666665,1.142857142857143,1.0,1.0,1.0,37.5,3.893333333333333,1.3090753424657535,1.0,1.0078482668410726,1.0103828682673588,1.0301862556197818,1.0,1.0336658354114712,1.0343787696019302,1.0798833819241982,0.9827213822894169,0.9796703296703296,0.9994391475042064,1.005611672278339,1.0719866071428572,1.133784487246226,1.1487603305785123,0.9308553157474022,1.124946328896522,1.7076335877862596,1.4514975413500222,1.0611333538651062,1.005369322304455,1.0471997690531178,0.9614059269469332,0.9670250896057349,1.1165307635285397,0.9494091090160668,1.081258741258741,1.0191437071530203,0.9709353978931338
Bolivia,1.0457399103139013,1.042024013722127,0.9860082304526748,1.0141903171953257,0.9736625514403292,0.9847844463229078,0.9991416309012875,1.1134020618556701,0.9915123456790123,0.9898832684824903,1.1069182389937107,0.9786931818181818,1.0188679245283019,0.9836182336182336,0.9522085445329471,1.1346007604562738,1.0757372654155495,0.9644859813084112,1.1802325581395348,1.0985221674876848,1.0772296960637766,1.0337650323774283,0.9042505592841164,1.0801583374567048,0.9166284928996792,1.0969515242378811,1.0742596810933942,1.0106022052586938,1.0037767519932856,0.951505016722408,1.0733743409490335,0.9979533360622186,1.1074651353568499,0.8944444444444444,1.0890269151138716,0.7593155893536122,1.2418627941912868
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,1.0082464578586825,1.0804662416117594,1.0778184634884869,1.0973794761565647,1.069478346808283,1.0237424569685365,1.018906911871061,1.0701843332728496,1.0271082985503344,1.012307916393562,1.0532565947242207,1.0291661354073696,1.051586441247915,1.033651985122103,1.0459729877150277,1.0502140410958904,1.0507590888710197,1.0440762657770286,1.0080277495749077,1.0360780870940502,0.8867216682891177,1.0702940071559612,1.0715760776963708,1.0496447811126588,1.0533470680017571,1.0355707805898071,1.078491278746806,0.9932474890548546,1.0622332619439012,1.051432825619996,1.0592755443400015,0.9783950346713889,0.9575495154852093,0.9724521901865606,0.9741375370159658,1.0562936475794424,0.9806145732026632
