country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,1.1731601731601733,0.9040590405904059,1.036734693877551,1.031496062992126,1.0076335877862594,1.5984848484848484,1.09478672985782,0.7272727272727273,1.0089285714285714,1.008849557522124,0.894736842105263,0.6928104575163399,0.9764150943396226,0.9758454106280194,0.9702970297029703,0.9591836734693877,0.9414893617021276,0.9039548022598871,0.96875,1.0,0.6064516129032258,1.4042553191489362,2.340909090909091,1.0647249190938513,1.0455927051671732,0.5813953488372093,0.99,0.9393939393939397,0.8709677419354837,1.1419753086419753,1.3621621621621622,0.6904761904761905,1.252873563218391,0.7064220183486238,0.9350649350649352,1.0416666666666665,1.12
Albania,0.914804469273743,0.914503816793893,0.9065108514190316,0.9134438305709025,0.9435483870967742,0.9594017094017093,0.5723830734966593,0.8443579766536965,1.0829493087557602,1.3659574468085107,0.49221183800623053,0.7784810126582278,1.3008130081300813,0.78125,1.576,0.9543147208121827,0.7819148936170213,0.9387755102040818,0.7681159420289855,1.2735849056603774,0.9555555555555555,1.2713178294573642,0.6158536585365855,1.306930693069307,0.5,1.3181818181818181,0.781609195402299,0.0,0.0,0.001,55.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1.1325563325563324,1.1457189901207465,1.1235928143712575,1.0681091451716054,1.090709510028939,1.0948764867337604,1.046461101362079,1.1098778248023635,1.0206489675516224,1.058155928380093,1.067816934248218,1.0607024767608708,1.0538760145865194,1.0346578859247686,0.9654781811316684,1.0609531258729537,1.0355450236966826,1.0798372743452835,1.0869319519660938,1.0327542134222953,1.0472374879389186,1.0389776869767255,1.062152991980259,1.057753738928416,1.0761522358351352,1.0494291727788763,1.0560350066853044,1.0806860036832413,0.9559857279795506,1.1928251121076234,1.1133190118152525,1.1193397512531722,1.04903595720362,1.0743578751830816,1.071688639877637,1.030437008423698,1.0667991508965267
American Samoa,0.9571428571428571,1.0,1.0597014925373134,0.9718309859154931,1.2028985507246377,0.9036144578313252,1.08,1.1234567901234567,0.989010989010989,1.0444444444444445,1.0851063829787233,1.0,1.127450980392157,1.0608695652173912,1.0573770491803278,1.0387596899224807,1.052238805970149,1.0425531914893618,1.034013605442177,1.0460526315789473,1.0125786163522013,1.0434782608695652,1.0535714285714284,1.0,1.0056497175141244,1.0168539325842696,1.0165745856353592,1.016304347826087,0.9518716577540108,0.8932584269662921,0.9748427672955975,1.0129032258064516,0.9936305732484076,1.0,1.044871794871795,1.0429447852760736,0.9823529411764704
Angola,1.0026666666666666,1.050531914893617,1.0835443037974684,1.0,1.0,1.0,1.021028037383178,1.0,1.0,1.0320366132723109,1.0,1.0,1.0,1.0110864745011086,1.0,1.0109649122807018,1.0086767895878526,1.0129032258064514,0.881104033970276,1.2072289156626506,1.1656686626746506,1.0017123287671232,1.211965811965812,0.6389280677009873,1.1766004415011035,1.131332082551595,1.1227197346600333,1.4194977843426881,1.6056191467221643,1.0635126377187298,0.9414990859232175,1.479611650485437,1.4181977252843394,1.2871684145589142,1.0093457943925233,1.0144824311490979,0.6744675871752868
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1.0535714285714286,1.0508474576271187,1.0967741935483872,1.0441176470588234,1.0140845070422537,1.125,1.0493827160493827,1.0117647058823527,1.0232558139534886,1.0113636363636365,1.0,1.0,1.0,1.0224719101123594,1.010989010989011,1.0,1.0108695652173914,1.021505376344086,1.0,1.4842105263157894,1.1418439716312059,1.1180124223602483,1.1,1.0505050505050504,1.0961538461538463,1.0657894736842104,1.0823045267489713,1.0304182509505704,1.136531365313653,1.0357142857142858,0.9968652037617555,0.9748427672955975,1.0,1.0193548387096774,1.0126582278481013,1.009375,1.0061919504643964
Argentina,0.960219602196022,0.9571187552722841,0.9745874749057436,0.9633741961414791,0.9240677966101695,1.1807664089395564,1.0689226651371762,1.3228849937399392,1.0316714551292885,0.6850796147041479,1.196652319464371,1.101230916793222,1.0183632734530939,0.9079861729802929,1.2174732132344284,1.1871373307543522,0.9235573659198912,1.1036753895912967,1.2955296248934356,1.0293035020255403,0.8518400127861911,0.922440076926685,1.1838753146373089,1.2235036402293666,1.043637001930841,1.073365177610334,1.1166598765238647,1.0689418071088783,0.9685727788279772,1.0483315713859749,0.9883901329058282,1.1010202746893392,0.9948320720421039,0.99644128113879,1.093060882070949,1.0189134367633355,0.97602496502744
Australia,1.058976629370254,1.053956469962247,1.033392232519563,1.0664759046655268,1.0585476517679906,1.0502709831640118,1.0648465168296821,1.078789051343707,1.0603697852171314,1.061378499404014,1.0039306446105398,1.0222670687739508,1.019467796434724,1.02850263268592,1.0414351394804386,1.0281584150371055,1.0270295046331608,1.0837250161909828,1.030359509609013,1.0378950149018886,1.0719217873385785,1.0165017523756434,0.9907887921841835,1.0483394833948338,0.9569693769799367,1.0136449553001277,1.0515469632750567,1.0062257667182686,1.0301598491054929,1.0035093397447752,0.985016517768696,0.9871414071014608,0.964376083928013,0.9757321147798741,1.0313121597735937,1.005708035683768,0.9929115202361533
Austria,0.9368394564670357,1.0125346942429938,1.0015916526660182,1.0672728877902358,1.0053767888162795,0.9975316768142174,1.0631804684922468,0.9051202482544608,1.1236821805091284,1.2050343249427917,1.0968477022407899,0.8002654662973223,0.902430230042547,1.1431996164295988,1.0663358031595136,1.0871845296624059,1.0100693397648477,0.9549904489016237,0.9850606325790724,0.9718256234532647,1.141429970617042,0.9985698758652252,1.2135655362053164,0.9709686555891242,1.0580971364674994,0.8936776327880904,0.9100771208226222,1.0282469916953845,0.9557167188616009,1.2066110951422824,0.9310114822049644,0.8032342254746431,0.8056192660550459,0.8115460656385924,1.2424478659130773,0.992313725490196,1.1671672462851723
