country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.003,0.003,0.003,0.003,0.003,0.003,0.171,0.258,0.342,0.342,0.349,0.35,0.35,0.35,0.35,0.342,0.342,0.342,0.342,0.344,0.414,0.43,0.43,0.445,0.445,0.46799999999999997,1.4880000000000002,1.4880000000000002,1.4880000000000002,1.4880000000000002,1.4884,1.4885,1.4895,1.4895,1.4895,1.6155,1.6155,1.6155
Bolivia,0.28300000000000003,0.28300000000000003,0.301,0.295,0.295,0.295,0.295,0.301,0.306,0.306,0.309,0.309,0.308,0.308,0.306,0.306,0.307,0.331,0.36,0.4,0.392,0.38799999999999996,0.499,0.456,0.512,0.512,0.536,0.57,0.525,0.563,0.5589999999999999,0.564,0.563,0.5670000000000001,0.6,0.622,0.6559999999999999,0.778
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.002,0.002,0.002,0.003,0.003
Brazil,27.5,31.021,33.001999999999995,34.028,34.923,37.077,37.786,40.329,42.228,44.79600000000001,45.558,46.61600000000001,47.708999999999996,48.6,49.928000000000004,51.31100000000001,53.428000000000004,54.97,56.75899999999999,58.997,63.742,65.208,68.003,70.513,72.14699999999999,74.42699999999999,77.617,81.219,83.01299999999999,84.927,89.544,92.88600000000001,96.7061,101.0931,107.4681,113.6931,121.9501,128.3101
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0011,0.0011,0.0011,0.0011,0.0012,0.0012,0.0012
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Bulgaria,1.895,1.895,1.895,1.975,1.975,1.975,1.975,1.975,1.975,1.973,1.973,1.401,1.401,1.401,1.401,1.401,1.401,1.8030000000000002,1.8030000000000002,1.8030000000000002,1.933,1.758,2.0,1.9909999999999999,1.992,1.999,2.017,2.048,2.241,2.322,2.707,2.74,3.795,3.898,3.946,3.975,3.984,3.986
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.013999999999999999,0.013999999999999999,0.03,0.03,0.03,0.032,0.032,0.032,0.032,0.0325,0.0325,0.0325,0.0327,0.0331,0.033,0.033,0.034,0.034,0.035,0.036000000000000004,0.038,0.038,0.0382,0.0392,0.0404,0.0424,0.0794
Burundi,0.002,0.005,0.015,0.02,0.025,0.025,0.025,0.025,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.043,0.043,0.043,0.043,0.043,0.047,0.034,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0361,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.055,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.057999999999999996,0.057999999999999996,0.057999999999999996,0.059000000000000004,0.064
