country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,11.013,10.977,12.047,12.565999999999999,12.309000000000001,14.112,14.138,14.052999999999999,14.025,14.107999999999999,13.937000000000001,13.863,13.785,13.785,14.630999999999998,14.613,14.573,14.417,15.103,15.253,15.685,15.533,15.552,15.615,15.648,16.096,16.26,16.38,16.758,17.777,18.689,20.099,20.838,20.951999999999998,20.921,21.166,21.666999999999998,22.261999999999997
Belize,0.021,0.021,0.021,0.021,0.021,0.022000000000000002,0.022000000000000002,0.023,0.023,0.023,0.023,0.04,0.043,0.046,0.048,0.07400000000000001,0.069,0.067,0.057999999999999996,0.057999999999999996,0.066,0.066,0.066,0.08800000000000001,0.083,0.087,0.086,0.08800000000000001,0.08900000000000001,0.136,0.175,0.175,0.17600000000000002,0.17300000000000001,0.18600000000000003,0.187,0.198,0.20800000000000002
Benin,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.06,0.06,0.08,0.08,0.08199999999999999,0.085,0.085,0.09,0.09,0.09,0.09,0.091,0.092,0.092,0.203,0.203,0.203,0.207,0.207,0.24100000000000002,0.278,0.35,0.353,0.353
Bermuda,0.11800000000000001,0.11800000000000001,0.11800000000000001,0.13699999999999998,0.149,0.149,0.12300000000000001,0.12,0.133,0.17,0.14,0.14,0.14,0.14,0.14,0.146,0.146,0.146,0.168,0.168,0.168,0.168,0.175,0.175,0.175,0.175,0.175,0.165,0.165,0.165,0.165,0.165,0.171,0.171,0.171,0.171,0.171,0.171
Bhutan,0.015,0.015,0.016,0.016,0.016,0.016,0.188,0.263,0.34700000000000003,0.353,0.36,0.361,0.361,0.361,0.361,0.353,0.353,0.353,0.354,0.35600000000000004,0.426,0.442,0.442,0.457,0.462,0.485,1.505,1.505,1.505,1.505,1.5054,1.5055,1.4985,1.5005,1.5005,1.6235,1.6245,1.6245
Bolivia,0.508,0.517,0.562,0.47100000000000003,0.469,0.469,0.469,0.606,0.609,0.633,0.7020000000000001,0.7020000000000001,0.701,0.7559999999999999,0.804,0.8029999999999999,0.805,0.9890000000000001,1.061,1.345,1.341,1.2429999999999999,1.402,1.329,1.4709999999999999,1.43,1.454,1.584,1.5390000000000001,1.604,1.716,1.7519999999999998,1.95,2.185,2.218,2.3209999999999997,2.4419999999999997,2.59
Botswana,0.133,0.133,0.152,0.154,0.13,0.184,0.184,0.184,0.184,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.1321,0.133,0.134,0.7340000000000001,0.622,0.623,0.623
Brazil,31.605999999999998,35.84,37.915,38.96,39.87,42.163999999999994,42.968999999999994,45.556999999999995,47.537,50.092,50.968,52.05,53.068999999999996,54.108000000000004,55.493,56.885,59.263000000000005,60.794,62.84,65.59100000000001,73.167,75.392,80.502,84.10700000000001,87.85700000000001,90.51299999999999,94.18799999999999,97.941,101.62,105.023,113.695,117.13799999999999,121.3761,128.0601,134.7861,141.7311,150.7721,157.2271
British Virgin Islands,0.005,0.005,0.01,0.01,0.01,0.012,0.012,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.039,0.042,0.042,0.042,0.042,0.044000000000000004,0.0451,0.0451,0.0451,0.0451,0.0451,0.0452,0.0452,0.0452
Brunei,0.158,0.24,0.24,0.24,0.24,0.285,0.28800000000000003,0.387,0.382,0.382,0.382,0.384,0.41700000000000004,0.469,0.475,0.65,0.7070000000000001,0.7070000000000001,0.769,0.77,0.763,0.7609999999999999,0.7609999999999999,0.86,0.8740000000000001,0.759,0.759,0.759,0.759,0.768,0.7859999999999999,0.8029999999999999,0.8059999999999999,0.8109999999999999,0.8109999999999999,0.821,0.821,0.821
