country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bermuda,0.311,0.32,0.331,0.345,0.358,0.37,0.387,0.409,0.431,0.43799999999999994,0.461,0.48200000000000004,0.486,0.48700000000000004,0.495,0.49,0.494,0.498,0.51,0.55,0.595,0.644,0.643,0.624,0.627,0.652,0.6659999999999999,0.6759999999999999,0.685,0.6940000000000001,0.6859999999999999,0.674,0.6579999999999999,0.637,0.62,0.634,0.625,0.622
Bhutan,0.01,0.013000000000000001,0.013999999999999999,0.013999999999999999,0.012,0.003,0.004,0.002,0.003,0.004,0.006999999999999999,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,1e-05,1e-05,1e-05,2e-05
Bolivia,0.45299999999999996,0.489,0.44299999999999995,0.469,0.304,0.32899999999999996,0.353,0.368,0.585,0.711,0.85,0.907,0.93,0.975,1.324,1.564,1.604,1.714,1.984,1.92,1.768,1.689,1.811,2.154,2.18,2.693,2.885,3.154,3.215,3.509,4.207,4.466,4.8839999999999995,5.015,5.742000000000001,6.058,6.9079999999999995,6.9479999999999995
Botswana,0.44299999999999995,0.502,0.489,0.434,0.445,0.456,0.5379999999999999,0.846,0.8,0.797,0.852,0.879,1.088,1.0270000000000001,1.044,1.047,0.759,0.87,1.026,1.043,0.89,0.9490000000000001,0.8420000000000001,0.6809999999999999,0.74,0.815,0.746,0.578,0.552,0.41700000000000004,0.5,0.449,0.32899999999999996,0.867,2.173,2.7880000000000003,2.525,2.839
Brazil,7.943,8.7185,7.965560000000001,7.21732,7.3978,8.11408,15.22424,12.15702,10.940660000000001,10.81564,9.51656,10.465019999999999,11.16814,11.16344,11.177539999999999,12.84322,15.48274,17.69926,18.62046,27.47338,28.428,34.688,32.946,30.980999999999998,39.455999999999996,38.758,38.664,36.591,54.953,35.524,60.045,49.13399999999999,75.834,110.29799999999999,134.657,128.12,91.65799999999999,100.435
British Virgin Islands,0.022000000000000002,0.024,0.025,0.024,0.027000000000000003,0.028999999999999998,0.033,0.037000000000000005,0.04,0.040999999999999995,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.04,0.038,0.038,0.042,0.042,0.09300000000000001,0.1,0.10400000000000001,0.11599999999999999,0.15,0.184,0.18,0.185,0.185,0.185,0.18600000000000003,0.188,0.19
Brunei,0.439,0.479,0.534,0.682,0.7809999999999999,0.852,0.9009999999999999,0.938,1.047,1.089,1.163,1.256,1.324,1.454,1.5630000000000002,1.848,1.996,2.263,2.353,2.2880000000000003,2.39,2.424,2.539,3.0,3.068,3.068,3.1,3.1910000000000003,3.218,3.395,3.5639999999999996,3.5,3.6919999999999997,4.136,4.234,3.946,4.013,3.906
Bulgaria,23.37,22.694000000000003,24.967,25.259,26.853,24.595,25.676,26.685,24.733,25.353,24.061999999999998,21.894000000000002,20.675,20.756999999999998,20.05,20.881,20.412,20.789,20.195999999999998,18.258,18.593,20.909000000000002,18.557000000000002,20.691999999999997,20.137999999999998,19.702,20.439,23.845,24.305999999999997,21.988000000000003,23.468000000000004,27.965999999999998,23.925,20.64,22.239,23.094,20.430999999999997,21.844
Burkina Faso,0.098,0.10800000000000001,0.115,0.11699999999999999,0.113,0.115,0.122,0.133,0.14300000000000002,0.153,0.165,0.16899999999999998,0.17,0.158,0.134,0.138,0.149,0.16699999999999998,0.23399999999999999,0.225,0.221,0.27399999999999997,0.301,0.349,0.37200000000000005,0.39,0.44,0.47100000000000003,0.45399999999999996,0.5329999999999999,0.42100000000000004,0.44799999999999995,0.528,0.625,0.78,0.9059999999999999,0.8340000000000001,0.958
Burundi,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.012,0.003,0.019,0.032,0.027000000000000003,0.023,0.02
Cambodia,0.047,0.05,0.052000000000000005,0.061,0.066,0.071,0.075,0.08,0.085,0.08900000000000001,0.091,0.094,0.099,0.10300000000000001,0.10800000000000001,0.212,0.215,0.266,0.308,0.353,0.42,0.478,0.6559999999999999,0.6709999999999999,0.727,0.851,1.044,1.339,1.3319999999999999,1.126,0.888,0.9259999999999999,0.84,0.703,1.119,2.215,2.7539999999999996,3.9560000000000004
Cameroon,0.08199999999999999,0.09300000000000001,0.102,0.09300000000000001,0.085,0.086,0.057999999999999996,0.061,0.064,0.066,0.066,0.068,0.071,0.073,0.077,0.086,0.08900000000000001,0.034,0.049,0.039,0.036000000000000004,0.063,0.111,0.147,0.179,0.218,0.537,1.2409999999999999,1.29,1.594,1.485,1.375,1.094,1.8230000000000002,2.326,3.366,3.528,3.7489999999999997
Canada,79.8,77.595,85.133,85.881,92.228,88.581,80.931,96.03,107.324,119.15899999999999,101.881,104.611,111.66799999999999,103.16,105.48100000000001,113.31,111.51,126.012,142.416,142.779,155.805,160.52,155.632,157.22799999999998,149.296,150.535,139.64,149.362,141.806,130.475,131.376,132.414,125.64,123.663,123.523,131.79399999999998,123.713,117.227
Cape Verde,0.015,0.015,0.021,0.022000000000000002,0.026000000000000002,0.027000000000000003,0.027999999999999997,0.031,0.033,0.033,0.039,0.05,0.057,0.064,0.07,0.07200000000000001,0.076,0.081,0.08800000000000001,0.102,0.13,0.149,0.165,0.182,0.2,0.21600000000000003,0.22899999999999998,0.24600000000000002,0.264,0.27399999999999997,0.321,0.321,0.28800000000000003,0.302,0.318,0.316,0.34,0.365
Cayman Islands,0.057999999999999996,0.066,0.078,0.08900000000000001,0.10400000000000001,0.11699999999999999,0.129,0.151,0.16699999999999998,0.183,0.212,0.22,0.221,0.237,0.268,0.27899999999999997,0.281,0.282,0.284,0.31,0.39799999999999996,0.425,0.44799999999999995,0.46299999999999997,0.486,0.39399999999999996,0.486,0.546,0.578,0.597,0.594,0.594,0.5870000000000001,0.596,0.605,0.624,0.65,0.654
Central African Republic,0.001,0.001,0.002,0.004,0.003,0.017,0.017,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.017,0.017,0.017,0.018000000000000002,0.02,0.02,0.021,0.021,0.021,0.022000000000000002,0.022000000000000002,0.024,0.024,0.024,0.025,0.026000000000000002,0.027000000000000003,0.024,0.024,0.024,0.025,0.025,0.025,0.001,0.001,0.001,0.001,0.001
Chad,0.044000000000000004,0.048,0.049,0.048,0.049,0.051,0.065,0.079,0.076,0.077,0.085,0.08199999999999999,0.079,0.081,0.08,0.084,0.085,0.085,0.086,0.086,0.086,0.094,0.10099999999999999,0.10800000000000001,0.115,0.121,0.122,0.121,0.141,0.172,0.188,0.205,0.193,0.212,0.212,0.214,0.21600000000000003,0.22
Chile,4.409,4.39,3.412,3.47,3.9160000000000004,3.4610000000000003,3.302,3.28,5.118,7.715,7.47,6.422999999999999,3.285,3.7739999999999996,5.434,7.067,10.429,12.709000000000001,17.589000000000002,22.394000000000002,19.384,18.285999999999998,18.288,21.941,25.56,22.752,23.268,30.714000000000002,30.447,29.116999999999997,33.864000000000004,37.311,41.67,44.031000000000006,37.705999999999996,39.964,42.29,41.868
China,227.856,229.172,238.102,249.1,272.788,299.202,333.79400000000004,373.274,409.84,438.32199999999995,465.20599999999996,519.256,585.3380000000001,644.044,701.171,756.057,805.304,863.428,885.232,944.456,1041.464,1132.211,1271.068,1484.2320000000002,1701.757,1925.0,2227.0,2560.0,2623.0,2804.0,3132.6659999999997,3589.9770000000003,3648.241,3956.679,3984.9179999999997,4008.178,4157.282999999999,4397.628
Colombia,5.13,5.419,7.5520000000000005,8.426,8.804,7.837000000000001,7.5729999999999995,9.056000000000001,8.177999999999999,7.475,8.129,8.895,10.214,9.471,8.448,10.387,8.077,13.068,13.706,9.298,9.922,10.479000000000001,9.948,9.28,8.576,9.383,9.821,9.607000000000001,8.421,14.607999999999999,15.573,9.482000000000001,11.982999999999999,21.269000000000002,20.528000000000002,26.416,24.648000000000003,15.145999999999999
Comoros,0.006999999999999999,0.008,0.008,0.009000000000000001,0.01,0.012,0.012,0.012,0.012,0.013999999999999999,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013999999999999999,0.013999999999999999,0.015,0.015,0.017,0.026000000000000002,0.027999999999999997,0.028999999999999998,0.037000000000000005,0.04,0.043,0.039,0.038,0.036000000000000004,0.04,0.054000000000000006,0.055,0.053,0.049,0.039,0.04,0.04
Congo-Brazzaville,0.052000000000000005,0.055,0.024,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.0,0.0,0.054000000000000006,0.063,0.073,0.076,0.068,0.113,0.196,0.33399999999999996,0.47200000000000003,0.67,0.6940000000000001,0.741,1.527,1.6840000000000002,2.108
Congo-Kinshasa,0.18899999999999997,0.16699999999999998,0.14400000000000002,0.129,0.13,0.135,0.138,0.14,0.135,0.03,0.024,0.021,0.018000000000000002,0.016,0.017,0.017,0.017,0.018000000000000002,0.018000000000000002,0.019,0.003,0.005,0.008,0.006999999999999999,0.008,0.006999999999999999,0.019,0.034,0.043,0.033,0.081,0.083,0.008,0.008,0.01,0.015,0.013000000000000001,0.011000000000000001
Cook Islands,0.01,0.011000000000000001,0.01,0.009000000000000001,0.01,0.011000000000000001,0.012,0.013000000000000001,0.013000000000000001,0.013999999999999999,0.015,0.015,0.015,0.015,0.015,0.019,0.019,0.019,0.019,0.021,0.024,0.024,0.026000000000000002,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.03,0.031,0.032,0.031,0.032,0.032,0.03,0.03,0.03,0.03,0.03,0.031
Costa Rica,0.044000000000000004,0.076,0.08,0.081,0.055999999999999994,0.055,0.06,0.076,0.08900000000000001,0.027999999999999997,0.081,0.196,0.55,0.466,0.779,0.7759999999999999,0.43799999999999994,0.179,0.353,0.125,0.055,0.094,0.115,0.14800000000000002,0.062,0.255,0.501,0.679,0.636,0.424,0.603,0.8109999999999999,0.78,1.124,0.98,0.102,0.18100000000000002,0.035
Cote dIvoire,0.368,0.149,0.188,0.9259999999999999,1.189,0.621,0.838,1.153,1.006,1.194,0.912,0.57,0.628,1.036,1.235,1.196,1.3630000000000002,1.9869999999999999,2.468,2.891,2.8539999999999996,2.9,3.3510000000000004,3.06,3.44,3.889,3.7910000000000004,3.4960000000000004,3.557,3.448,4.021,4.005,4.851,5.617000000000001,5.925,6.819,7.426,8.039
Cuba,9.263,9.847000000000001,10.327,10.799000000000001,11.489,11.415999999999999,12.33,12.737,13.600999999999999,14.249,12.940999999999999,11.045,10.751,10.247,10.526,11.123,11.66,12.462,12.484000000000002,12.855,13.159,13.436,13.775,14.064,13.872,13.963,15.011,16.062,15.958,16.016,15.823,16.156,16.679000000000002,17.209,17.473,18.317999999999998,18.469,18.586
Cyprus,0.968,0.993,1.071,1.148,1.175,1.24,1.338,1.421,1.568,1.734,1.857,1.952,2.26,2.426,2.52,2.325,2.4365,2.548,2.7769999999999997,2.951,3.168,3.338,3.5580000000000003,3.8089999999999997,3.948,4.113,4.372,4.5760000000000005,4.76,4.825,4.934,4.466,4.192,3.725,3.7910000000000004,3.887,4.195,4.295
Denmark,25.131999999999998,18.422,22.366,20.68,19.674,25.62,28.625,27.365,25.451,20.776,23.621,33.296,27.514,30.248,35.929,32.469,48.088,38.539,34.577,31.994,28.093000000000004,29.399,29.95,35.175,28.436999999999998,24.081,33.451,26.523000000000003,24.125,23.996,24.145,19.054000000000002,14.225999999999999,16.976,12.661,8.679,10.693,7.898
Djibouti,0.11,0.115,0.12300000000000001,0.139,0.13699999999999998,0.154,0.16,0.161,0.16399999999999998,0.165,0.168,0.16899999999999998,0.16899999999999998,0.171,0.171,0.17300000000000001,0.174,0.17600000000000002,0.17600000000000002,0.17600000000000002,0.18,0.179,0.188,0.188,0.20199999999999999,0.24,0.263,0.304,0.319,0.32799999999999996,0.35600000000000004,0.364,0.36700000000000005,0.37799999999999995,0.37799999999999995,0.37799999999999995,0.37799999999999995,0.38
Dominica,0.002,0.002,0.002,0.003,0.008,0.01,0.013000000000000001,0.013000000000000001,0.012,0.013000000000000001,0.013000000000000001,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.016,0.025,0.023,0.03,0.035,0.039,0.042,0.051,0.040999999999999995,0.047,0.042,0.052000000000000005,0.054000000000000006,0.061,0.063,0.065,0.071,0.062,0.07,0.06,0.067,0.078,0.071,0.055
Dominican Republic,2.565,2.764,2.449,2.62,3.495,3.193,3.714,3.536,3.425,2.6630000000000003,3.08,3.112,3.403,4.0360000000000005,4.2330000000000005,4.542,5.369,6.132000000000001,6.5120000000000005,7.439,7.275,8.999,10.905999999999999,11.305,9.517999999999999,10.067,11.280999999999999,11.911,10.263,10.065,12.478,13.31,13.84,14.517000000000001,14.628,15.587,15.698,15.189
Ecuador,2.3080000000000003,2.752,3.014,2.405,0.95,0.945,0.927,0.7709999999999999,0.763,0.769,1.278,1.7819999999999998,2.077,1.4980000000000002,1.5090000000000001,3.072,2.8160000000000003,2.92,3.4419999999999997,2.943,2.823,3.74,4.101,4.103,5.752000000000001,5.297999999999999,6.391,6.688,6.872999999999999,8.579,9.996,8.582,9.692,11.152999999999999,11.613,11.46,10.216000000000001,8.147
Egypt,8.557,10.389000000000001,9.574,12.392999999999999,19.416,24.281,25.564,28.576,27.58,29.775,31.533,34.015,35.041,37.37,39.43,41.382,40.316,43.655,47.699,50.016000000000005,60.45,63.855,71.559,76.888,82.844,89.764,95.75399999999999,102.26100000000001,108.51799999999999,117.50399999999999,124.12299999999999,134.162,141.009,144.05700000000002,149.803,160.316,160.44899999999998,166.0
El Salvador,0.094,0.128,0.094,0.132,0.099,0.165,0.11900000000000001,0.359,0.27699999999999997,0.19399999999999998,0.159,0.648,0.633,0.857,1.232,1.358,1.02,1.604,1.6880000000000002,1.319,1.757,1.653,1.83,1.7469999999999999,1.9040000000000001,1.909,2.358,2.463,2.262,2.592,1.966,2.12,2.331,2.332,2.358,2.374,2.355,1.315
