country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bolivia,5579.935,5699.84,5819.745,5939.65,6059.555,6179.46,6316.536999999999,6453.613,6590.689,6727.766,6864.842,7016.340999999999,7167.84,7319.34,7470.839,7622.338000000001,7781.523,7940.7080000000005,8099.894,8259.079,8418.264000000001,8581.072,8743.881,8906.689,9069.498,9232.306,9395.563,9558.819,9722.076,9885.333,10048.59,10212.82,10377.05,10541.27,10705.5,10869.73,11030.39,11191.05,11216.3
Botswana,1001.158,1038.749,1076.34,1113.932,1151.5230000000001,1189.114,1226.874,1264.633,1302.393,1340.152,1377.912,1416.148,1454.385,1492.621,1530.858,1569.094,1600.943,1632.7920000000001,1664.642,1696.491,1728.34,1753.842,1779.345,1804.8470000000002,1830.35,1855.852,1887.655,1919.4579999999999,1951.26,1983.0629999999999,2014.866,2053.732,2092.598,2131.465,2170.331,2209.197,2250.511,2291.825,2333.1
Brazil,121050.8,123920.1,126858.5,129819.9,132756.0,135626.3,138433.8,141204.9,143943.7,146653.5,149335.8,151984.0,154597.7,157188.0,159765.9,162344.5,164938.9,167538.7,170115.8,172640.7,175090.0,177470.9,179798.2,182064.9,184263.3,186384.2,188415.9,190365.6,192255.4,194107.9,195941.8,197752.5,199528.2,201272.5,202988.9,204683.5,206368.9,208039.8,211056.5
Brunei,193.87900000000002,199.993,206.107,212.22099999999998,218.335,224.449,231.3034,238.1578,245.0122,251.8666,258.721,266.3996,274.0782,281.7568,289.4354,297.11400000000003,304.3242,311.5344,318.7446,325.9548,333.165,339.5548,345.9446,352.3344,358.7242,365.11400000000003,369.8204,374.5268,379.2332,383.9396,388.64599999999996,393.8982,399.1504,404.4026,409.6548,414.907,419.4214,423.9358,433.7
Bulgaria,8865.313,8894.732,8920.426,8942.34,8963.312,8957.88,8960.243,8972.583,8982.743,8849.556,8706.033000000001,8623.142,8526.339,8469.176,8439.546999999999,8400.729,8357.354,8304.851,8250.181999999999,8205.687,8164.996,7974.06,7829.246999999999,7767.781999999999,7709.7880000000005,7651.571,7593.935,7538.503000000001,7486.2,7438.773,7389.057,7343.052,7300.554,7260.255,7218.503000000001,7171.939,7121.331,7069.469,7019.3
Burkina Faso,6822.843000000001,7003.856,7184.869000000001,7365.880999999999,7546.894,7727.906999999999,7944.531999999999,8161.158,8377.783000000001,8594.408000000001,8811.034,9066.803,9322.571,9578.341,9834.109,10089.88,10393.49,10697.1,11000.72,11304.33,11607.94,11970.74,12333.54,12696.33,13059.13,13421.93,13858.59,14295.25,14731.9,15168.56,15605.22,16106.3,16607.38,17108.46,17609.54,18110.62,18669.17,19227.71,19786.3
Burundi,4116.817,4233.867,4350.917,4467.965999999999,4585.016,4702.066,4844.736,4987.406,5130.075,5272.745,5415.415,5524.744000000001,5634.071999999999,5743.401,5852.729,5962.058000000001,6049.7880000000005,6137.517,6225.246999999999,6312.977,6400.706,6605.223000000001,6809.7390000000005,7014.255999999999,7218.772,7423.289000000001,7692.017,7960.746,8229.474,8498.202,8766.93,9053.398000000001,9339.866,9626.334,9912.802,10199.27,10547.26,10895.25,11243.2
Cambodia,6692.107,6896.281,7100.456,7304.629,7508.804,7712.978,7965.0509999999995,8217.124,8469.196,8721.27,8973.341999999999,9309.385,9645.429,9981.472,10317.51,10653.56,10953.32,11253.08,11552.84,11852.59,12152.35,12375.92,12599.49,12823.06,13046.63,13270.2,13477.91,13685.62,13893.32,14101.03,14308.74,14550.52,14792.3,15034.08,15275.86,15517.63,15757.21,15996.78,16236.4
Cameroon,8621.405999999999,8911.286,9201.166,9491.046,9780.926,10070.81,10412.66,10754.52,11096.38,11438.23,11780.09,12144.07,12508.05,12872.03,13236.01,13599.99,13982.78,14365.57,14748.36,15131.15,15513.95,15957.84,16401.73,16845.62,17289.52,17733.41,18254.98,18776.54,19298.11,19819.67,20341.24,20932.67,21524.09,22115.52,22706.94,23298.37,23947.87,24597.37,24708.7
Canada,24470.71,24784.55,25082.95,25335.95,25576.73,25813.2,26067.49,26397.87,26751.47,27214.91,27632.36,27987.11,28324.15,28651.46,28960.06,29263.0,29569.88,29867.57,30123.88,30367.05,30647.4,30971.36,31308.65,31603.33,31901.24,32204.09,32529.37,32848.72,33199.42,33581.07,33958.34,34298.45,34664.84,35034.04,35392.41,35678.07,36051.76,36489.21,36994.4
Cape Verde,286.657,292.3394,298.0218,303.7042,309.3866,315.069,320.4318,325.7946,331.1574,336.5202,341.88300000000004,351.3318,360.7806,370.2294,379.6782,389.12699999999995,398.3174,407.5078,416.6982,425.8886,435.079,442.9766,450.8742,458.7718,466.6694,474.56699999999995,480.1304,485.6938,491.2572,496.8206,502.384,508.4898,514.5956,520.7014,526.8072,532.913,539.8,546.687,553.6
Cayman Islands,16.162,16.789,17.355999999999998,17.906,18.543,19.313,20.250999999999998,21.339000000000002,22.538,23.776,25.01,26.213,27.404,28.646,30.055,31.671999999999997,33.536,35.597,37.74,39.808,41.687,43.316,44.738,46.028,47.299,48.622,50.031000000000006,51.483000000000004,52.926,54.278999999999996,55.507,56.3982,57.2894,58.1806,59.0718,59.963,60.7484,61.5338,62.3
Central African Republic,2279.821,2350.703,2421.585,2492.468,2563.35,2634.232,2695.342,2756.4509999999996,2817.5609999999997,2878.67,2939.78,3022.377,3104.975,3187.572,3270.17,3352.7670000000003,3433.211,3513.655,3594.098,3674.542,3754.986,3829.571,3904.156,3978.74,4053.325,4127.91,4192.032999999999,4256.156,4320.279,4384.402,4448.525,4468.04,4487.555,4507.07,4526.585,4546.1,4621.058,4696.016,4771.0
Chad,4512.042,4627.94,4743.839,4859.738,4975.6359999999995,5091.535,5264.6,5437.665,5610.729,5783.794,5956.859,6165.632,6374.404,6583.177,6791.9490000000005,7000.722,7269.089,7537.456999999999,7805.8240000000005,8074.191,8342.559000000001,8687.449,9032.339,9377.229,9722.119,10067.01,10431.05,10795.09,11159.13,11523.16,11887.2,12311.64,12736.09,13160.53,13584.97,14009.41,14464.55,14919.68,15374.8
Chile,11439.9,11603.56,11765.5,11929.69,12100.28,12280.99,12472.64,12672.68,12878.9,13089.01,13301.79,13520.7,13746.13,13972.58,14194.3,14406.42,14609.19,14805.79,14996.88,15183.08,15364.4,15538.6,15705.9,15870.1,16035.14,16204.39,16377.59,16552.57,16728.99,16906.61,17084.58,17260.0,17433.76,17610.92,17796.29,17997.88,18232.45,18492.87,18215.1
